Entity,Code,Year,Alcohol_attributable_deaths
Afghanistan,AFG,2019,0.30472
Albania,ALB,2019,4.19887
Algeria,DZA,2019,1.0572
Angola,AGO,2019,6.56265
Antigua and Barbuda,ATG,2019,3.71924
Argentina,ARG,2019,3.75006
Armenia,ARM,2019,5.7554
Australia,AUS,2019,4.07859
Austria,AUT,2019,5.49363
Azerbaijan,AZE,2019,5.47494
Bahamas,BHS,2019,5.87392
Bahrain,BHR,2019,2.22524
Bangladesh,BGD,2019,0.69151
Barbados,BRB,2019,3.4916
Belarus,BLR,2019,23.15085
Belgium,BEL,2019,4.42962
Belize,BLZ,2019,8.29734
Benin,BEN,2019,5.02344
Bhutan,BTN,2019,1.71807
Bolivia,BOL,2019,4.79822
Bosnia and Herzegovina,BIH,2019,3.70686
Botswana,BWA,2019,6.5644
Brazil,BRA,2019,6.69822
Brunei,BRN,2019,1.4639
Bulgaria,BGR,2019,4.62943
Burkina Faso,BFA,2019,4.74436
Burundi,BDI,2019,4.65847
Cambodia,KHM,2019,10.39157
Cameroon,CMR,2019,7.00462
Canada,CAN,2019,4.72537
Cape Verde,CPV,2019,8.75317
Central African Republic,CAF,2019,3.88266
Chad,TCD,2019,2.77932
Chile,CHL,2019,4.89982
China,CHN,2019,2.92692
Colombia,COL,2019,4.20742
Comoros,COM,2019,0.55052
Congo,COG,2019,7.67548
Costa Rica,CRI,2019,3.87776
Cote d'Ivoire,CIV,2019,3.15327
Croatia,HRV,2019,5.13585
Cuba,CUB,2019,4.34624
Cyprus,CYP,2019,2.58677
Czechia,CZE,2019,6.09488
Democratic Republic of Congo,COD,2019,4.34397
Denmark,DNK,2019,4.69824
Djibouti,DJI,2019,1.4491
Dominican Republic,DOM,2019,8.27349
East Timor,TLS,2019,1.36717
Ecuador,ECU,2019,5.34286
Egypt,EGY,2019,2.06673
El Salvador,SLV,2019,5.61328
Equatorial Guinea,GNQ,2019,5.99198
Eritrea,ERI,2019,2.67494
Estonia,EST,2019,15.22227
Eswatini,SWZ,2019,6.98948
Ethiopia,ETH,2019,4.27325
Fiji,FJI,2019,2.32823
Finland,FIN,2019,5.01372
France,FRA,2019,5.14816
Gabon,GAB,2019,9.11243
Gambia,GMB,2019,1.9409
Georgia,GEO,2019,9.51525
Germany,DEU,2019,5.47024
Ghana,GHA,2019,6.04878
Greece,GRC,2019,2.63537
Grenada,GRD,2019,4.62277
Guatemala,GTM,2019,6.06789
Guinea,GIN,2019,1.16599
Guinea-Bissau,GNB,2019,4.81026
Guyana,GUY,2019,5.9557
Haiti,HTI,2019,4.32924
Honduras,HND,2019,5.24107
Hungary,HUN,2019,6.01387
Iceland,ISL,2019,3.63635
India,IND,2019,5.25604
Indonesia,IDN,2019,1.25722
Iran,IRN,2019,0.62722
Iraq,IRQ,2019,0.97468
Ireland,IRL,2019,4.33878
Israel,ISR,2019,1.78511
Italy,ITA,2019,2.67583
Jamaica,JAM,2019,2.9764
Japan,JPN,2019,3.80607
Jordan,JOR,2019,0.90765
Kazakhstan,KAZ,2019,7.38222
Kenya,KEN,2019,4.98718
Kiribati,KIR,2019,1.77698
Kuwait,KWT,2019,0.39374
Kyrgyzstan,KGZ,2019,8.65492
Laos,LAO,2019,8.74678
Latvia,LVA,2019,18.03885
Lebanon,LBN,2019,1.5053
Lesotho,LSO,2019,5.2241
Liberia,LBR,2019,4.58356
Libya,LBY,2019,0.39108
Lithuania,LTU,2019,19.69379
Luxembourg,LUX,2019,5.6325
Madagascar,MDG,2019,2.41922
Malawi,MWI,2019,4.37193
Malaysia,MYS,2019,1.71824
Maldives,MDV,2019,1.53559
Mali,MLI,2019,2.13184
Malta,MLT,2019,2.65285
Mauritania,MRT,2019,0.40274
Mauritius,MUS,2019,3.8691
Mexico,MEX,2019,5.70773
Micronesia (country),FSM,2019,3.32828
Moldova,MDA,2019,22.29351
Mongolia,MNG,2019,13.98439
Morocco,MAR,2019,1.06344
Mozambique,MOZ,2019,2.18001
Myanmar,MMR,2019,3.68338
Namibia,NAM,2019,6.56825
Nepal,NPL,2019,2.71517
Netherlands,NLD,2019,3.89103
New Zealand,NZL,2019,3.74977
Nicaragua,NIC,2019,4.91682
Niger,NER,2019,0.7815
Nigeria,NGA,2019,3.77106
North Korea,PRK,2019,4.39924
North Macedonia,MKD,2019,2.42068
Norway,NOR,2019,3.07995
Oman,OMN,2019,1.62225
Pakistan,PAK,2019,0.83448
Panama,PAN,2019,4.46275
Papua New Guinea,PNG,2019,2.42792
Paraguay,PRY,2019,5.47226
Peru,PER,2019,7.48386
Philippines,PHL,2019,4.23157
Poland,POL,2019,7.10861
Portugal,PRT,2019,4.71966
Qatar,QAT,2019,2.96104
Romania,ROU,2019,8.76505
Russia,RUS,2019,18.05761
Rwanda,RWA,2019,4.68955
Saint Lucia,LCA,2019,7.01416
Saint Vincent and the Grenadines,VCT,2019,4.01085
Samoa,WSM,2019,3.27336
Sao Tome and Principe,STP,2019,7.38821
Saudi Arabia,SAU,2019,0.67058
Senegal,SEN,2019,1.23298
Seychelles,SYC,2019,8.78218
Sierra Leone,SLE,2019,1.10955
Singapore,SGP,2019,2.28054
Slovakia,SVK,2019,7.74656
Slovenia,SVN,2019,7.93879
Solomon Islands,SLB,2019,3.07287
Somalia,SOM,2019,0.24226
South Africa,ZAF,2019,7.30462
South Korea,KOR,2019,7.06259
Spain,ESP,2019,3.72557
Sri Lanka,LKA,2019,2.14275
Sudan,SDN,2019,0.66547
Suriname,SUR,2019,5.28938
Sweden,SWE,2019,3.27693
Switzerland,CHE,2019,4.05155
Syria,SYR,2019,0.50219
Tajikistan,TJK,2019,3.8397
Tanzania,TZA,2019,6.91851
Thailand,THA,2019,7.66483
Togo,TGO,2019,2.73879
Tonga,TON,2019,2.50453
Trinidad and Tobago,TTO,2019,4.01385
