country,iso_code,youth_unemployment_rate
Afghanistan,AFG,17.365
Africa Eastern and Southern,AFE,13.6202170443066
Africa Western and Central,AFW,5.97640665169662
Albania,ALB,24.735
Algeria,DZA,31.662
Angola,AGO,28.288
Arab World,ARB,24.8247319226013
Argentina,ARG,19.004
Armenia,ARM,26.354
Australia,AUS,8.459
Austria,AUT,10.327
Azerbaijan,AZE,13.808
"Bahamas, The",BHS,19.157
Bahrain,BHR,5.375
Bangladesh,BGD,10.985
Barbados,BRB,25.639
Belarus,BLR,10.282
Belgium,BEL,16.41
Belize,BLZ,19.465
Benin,BEN,3.134
Bhutan,BTN,27.177
Bolivia,BOL,6.044
Bosnia and Herzegovina,BIH,31.728
Botswana,BWA,42.611
Brazil,BRA,20.732
Brunei Darussalam,BRN,18.299
Bulgaria,BGR,10.742
Burkina Faso,BFA,8.557
Burundi,BDI,1.687
Cabo Verde,CPV,29.182
Cambodia,KHM,0.695
Cameroon,CMR,6.619
Canada,CAN,10.082
Caribbean small states,CSS,20.9545181493444
Central African Republic,CAF,9.561
Central Europe and the Baltics,CEB,13.6972075595596
Chad,TCD,1.424
Channel Islands,CHI,13.611
Chile,CHL,18.287
China,CHN,14.811
Colombia,COL,20.982
Comoros,COM,8.652
"Congo, Dem. Rep.",COD,8.437
"Congo, Rep.",COG,40.869
Costa Rica,CRI,30.718
Cote d'Ivoire,CIV,4.278
Croatia,HRV,18.083
Cuba,CUB,4.31
Cyprus,CYP,18.707
Czechia,CZE,6.72
Denmark,DNK,10.533
Djibouti,DJI,76.306
Dominican Republic,DOM,12.852
Early-demographic dividend,EAR,16.0567344251565
East Asia & Pacific,EAS,12.1625767448283
East Asia & Pacific (IDA & IBRD countries),TEA,12.7451830448184
East Asia & Pacific (excluding high income),EAP,12.665139644121
Ecuador,ECU,8.403
"Egypt, Arab Rep.",EGY,19.058
El Salvador,SLV,7.48
Equatorial Guinea,GNQ,15.821
Eritrea,ERI,9.647
Estonia,EST,18.392
Eswatini,SWZ,58.33
Ethiopia,ETH,5.412
Euro area,EMU,17.0336598221882
Europe & Central Asia,ECS,15.4347785521335
Europe & Central Asia (IDA & IBRD countries),TEC,15.4851925330147
Europe & Central Asia (excluding high income),ECA,16.1733244634066
European Union,EUU,16.3625563836776
Fiji,FJI,15.778
Finland,FIN,14.138
Fragile and conflict affected situations,FCS,11.7603313896047
France,FRA,17.851
French Polynesia,PYF,37.08
Gabon,GAB,36.548
"Gambia, The",GMB,10.167
Georgia,GEO,30.346
Germany,DEU,6.04
Ghana,GHA,5.505
Greece,GRC,31.29
Guam,GUM,13.356
Guatemala,GTM,6.274
Guinea,GIN,7.107
Guinea-Bissau,GNB,2.826
Guyana,GUY,25.329
Haiti,HTI,36.521
Heavily indebted poor countries (HIPC),HPC,8.06966416845221
High income,HIC,11.7644440640999
Honduras,HND,13.607
"Hong Kong SAR, China",HKG,11.03
Hungary,HUN,10.558
IBRD only,IBD,16.96177001692
IDA & IBRD total,IBT,14.607055085231
IDA blend,IDB,8.82367558988379
IDA only,IDX,10.5405215357664
IDA total,IDA,9.94464909624658
Iceland,ISL,8.421
India,IND,17.769
Indonesia,IDN,14.055
"Iran, Islamic Rep.",IRN,22.7
Iraq,IRQ,32.069
Ireland,IRL,9.315
Israel,ISR,6.719
Italy,ITA,23.704
Jamaica,JAM,13.117
Japan,JPN,4.406
Jordan,JOR,42.028
Kazakhstan,KAZ,3.815
Kenya,KEN,12.187
"Korea, Dem. People's Rep.",PRK,6.585
"Korea, Rep.",KOR,6.638
Kuwait,KWT,15.502
Kyrgyz Republic,KGZ,8.244
Lao PDR,LAO,2.184
Late-demographic dividend,LTE,15.1887491020047
Latin America & Caribbean,LCN,14.8057643303148
Latin America & Caribbean (excluding high income),LAC,14.6948922486635
Latin America & the Caribbean (IDA & IBRD countries),TLA,14.9365137771434
Latvia,LVA,15.27
Least developed countries: UN classification,LDC,10.381626610458
Lebanon,LBN,23.612
Lesotho,LSO,25.01
Liberia,LBR,2.205
Libya,LBY,50.661
Lithuania,LTU,11.873
Low & middle income,LMY,14.8104002755814
Low income,LIC,11.4660752793428
Lower middle income,LMC,14.143767346291
Luxembourg,LUX,17.599
"Macao SAR, China",MAC,7.143
Madagascar,MDG,5.602
Malawi,MWI,6.769
Malaysia,MYS,12.269
Maldives,MDV,14.956
Mali,MLI,3.178
Malta,MLT,8.24
Mauritania,MRT,23.596
Mauritius,MUS,21.805
Mexico,MEX,6.465
"Middle East, North Africa, Afghanistan & Pakistan",MEA,19.4392867181328
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,19.7945577265472
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,19.9167324450303
Middle income,MIC,15.2369791800573
Moldova,MDA,2.855
Mongolia,MNG,11.555
Montenegro,MNE,30.306
Morocco,MAR,22.976
Mozambique,MOZ,7.459
Myanmar,MMR,10.061
Namibia,NAM,38.112
Nepal,NPL,20.836
Netherlands,NLD,7.643
New Caledonia,NCL,33.324
New Zealand,NZL,9.353
Nicaragua,NIC,9.565
Niger,NER,0.414
Nigeria,NGA,6.01
North America,NAC,8.29186665225815
North Macedonia,MKD,32.595
Norway,NOR,9.899
OECD members,OED,11.5576803534353
Oman,OMN,14.983
Other small states,OSS,27.9155623201679
Pacific island small states,PSS,9.91579929834677
Pakistan,PAK,9.749
Panama,PAN,19.186
Papua New Guinea,PNG,3.811
Paraguay,PRY,14.601
Peru,PER,8.019
Philippines,PHL,6.813
Poland,POL,10.55
Portugal,PRT,19.054
Post-demographic dividend,PST,10.7522207551402
Pre-demographic dividend,PRE,9.46820504224542
Puerto Rico (US),PRI,13.599
Qatar,QAT,0.559
Romania,ROU,22.871
Russian Federation,RUS,14.388
Rwanda,RWA,22.203
Samoa,WSM,13.245
Sao Tome and Principe,STP,8.463
Saudi Arabia,SAU,15.964
Senegal,SEN,3.915
Serbia,SRB,23.214
Sierra Leone,SLE,3.5
Singapore,SGP,7.924
Slovak Republic,SVK,19.924
Slovenia,SVN,10.14
Small states,SST,23.9852132927476
Solomon Islands,SLB,2.967
Somalia,SOM,33.988
South Africa,ZAF,61.115
South Asia,SAS,17.136884769414
South Asia (IDA & IBRD),TSA,17.136884769414
South Sudan,SSD,18.653
Spain,ESP,29.852
Sri Lanka,LKA,21.732
St. Lucia,LCA,30.854
St. Vincent and the Grenadines,VCT,43.69
Sub-Saharan Africa,SSF,10.5428689310086
Sub-Saharan Africa (IDA & IBRD countries),TSS,10.5428689310086
Sub-Saharan Africa (excluding high income),SSA,11.1671581945909
Sudan,SDN,12.0
Suriname,SUR,26.163
Sweden,SWE,21.607
Switzerland,CHE,6.842
Syrian Arab Republic,SYR,31.788
Tajikistan,TJK,26.746
Tanzania,TZA,3.329
Thailand,THA,5.208
Timor-Leste,TLS,3.212
Togo,TGO,3.418
Tonga,TON,6.621
Trinidad and Tobago,TTO,10.596
Tunisia,TUN,37.826
Turkiye,TUR,19.289
Turkmenistan,TKM,9.109
Uganda,UGA,4.315
United Arab Emirates,ARE,9.992
United Kingdom,GBR,10.452
United States,USA,8.105
Upper middle income,UMC,16.8963597103131
Uruguay,URY,25.32
Uzbekistan,UZB,10.962
Vanuatu,VUT,11.794
"Venezuela, RB",VEN,10.691
Viet Nam,VNM,5.952
Virgin Islands (U.S.),VIR,27.506
West Bank and Gaza,PSE,36.092
World,WLD,14.2008782246635
"Yemen, Rep.",YEM,32.727
Zambia,ZMB,9.85
Zimbabwe,ZWE,16.984
